Date,Day,Origin,Group,Mark,Sex,Fish_ID,Notes,Tot_Dist_cm,Velocity_Mean_cm_s,High_Zone_Dur,Mid_Zone_Dur,Low_Zone_Dur,Freezing_Dur,Arena_Dur
2/03/2020,Monday,WCA,Within_Control,Red.Bla,male,a9676,,1045.88,2.37701,0,0,440.08,70.16,440.08
2/03/2020,Monday,WCA,Within_Control,Red.Yel,female,a9678,,1969.15,4.47534,139.76,73.52,226.8,0,440.08
2/03/2020,Monday,WCA,Within_Control,Gre.Pur,female,a9556,,2690.1,6.11386,144.8,140.72,154.56,0.24,440.08
2/03/2020,Monday,WCA,Within_Control,Ora.Blu,female,a9607,,2178.05,4.95101,134.24,114.24,191.52,0.24,440
2/03/2020,Monday,WCA,Within_Control,Pur._,male,a9562,,44.3564,0.10081,0,0,440.08,411.04,440.08
2/03/2020,Monday,WCA,Within_Control,Ora.Red,male,a9606,,1748.47,3.97379,35.6,72.8,331.68,0.48,440.08
2/03/2020,Monday,WCA,Within_Control,Gre.Bla,male,a9554,,1662.51,3.77843,190.72,126.88,122.48,0.4,440.08
2/03/2020,Monday,WCA,Within_Control,Blu.Yel,female,a9577,,1766.44,4.01464,44.96,57.04,338.08,1.44,440.08
2/03/2020,Monday,WCA,Within_Control,Pur.Red,female,a9566,,1596.72,3.62891,46.64,37.2,356.24,0.32,440.08
2/03/2020,Monday,WCA,Within_Control,Ora.Ora,male,a9706,,1952.76,4.43809,34.56,56.96,348.56,0.4,440.08
2/03/2020,Monday,WCA,Within_Control,Ora.Whi,male,a9611,,2214.7,5.0334,81.76,120.96,237.36,0.08,440.08
2/03/2020,Monday,WCA,Within_Control,Red.Ora,male,a9681,,699.378,1.5895,0,0,440.08,46.96,440.08
2/03/2020,Monday,WCA,Within_Control,Pin.Gre,male,a9588,,1223.65,2.78103,11.44,30.08,398.56,1.6,440.08
2/03/2020,Monday,WCA,Within_Control,Red.Whi,female,a9679,,1327.21,3.01638,34.24,77.04,328.8,13.2,440.08
2/03/2020,Monday,WCA,Within_Control,Ora.Gre,female,a9603,,1780.38,4.0478,0,29.2,410.72,0.32,439.92
2/03/2020,Monday,WCA,Within_Control,Gre.Bro,male,a9558,,3004.42,6.82824,285.6,103.92,50.4,0.08,440.08
2/03/2020,Monday,WCA,Within_Control,Gre.Blu,female,a9553,,2571.5,5.84431,138.32,105.12,196.64,0.8,440.08
2/03/2020,Monday,MB,Maternal,Red.Pin,male,a9755,,2177.79,4.94951,169.28,89.92,180.88,0.08,440.08
2/03/2020,Monday,MB,Maternal,_.Ora,female,a10198,,1632.96,3.71127,202.24,133.76,104.08,16.8,440.08
