Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
1,,,WCB,Blu.Red,male,a9582,,2322.16,93.84,65.04,281.2,12.48,440.08,39.2,23
2,,,WCB,Pur.Blu,male,a9687,,2458.29,133.12,93.28,213.68,1.2,440.08,100.56,24
3,,,MA,Bro.Gre,female,a9796,,671.358,17.92,22,400.16,79.36,440.08,384.56,3
4,,,MA,Red.Yel,female,a9761,,2109.92,170.88,103.44,165.76,0.08,440.08,94.24,21
5,,,MA,Red.Blu,female,a9759,,7.03247,0,0,440.08,440,440.08,-,0
6,,,MA,_.Yel,male,a9764,,1217.86,0,0,440.08,1.12,440.08,-,0
1,,,MA,Gre.Gre,female,a9804,,1467.34,0,0,440.08,0.24,440.08,-,0
2,,,MA,Red.Red,male,a9754,,1616.7,17.12,88.8,334.16,0.24,440.08,224.72,5
3,,,MA,Bro.Yel,female,a9794,,639.614,0,0,440.08,4.08,440.08,-,0
4,,,MA,Red.Bro,male,a9760,,1745.63,10.24,47.44,382.4,0.24,440.08,375.76,3
5,,,MA,Red.Gre,female,a9758,,1761.89,98.64,101.28,240.16,0.32,440.08,74.64,15
6,,,MA,Gre.Blu,male,a9808,,7.01374,0,0,440.08,440,440.08,-,0
1,,,MA,Whi.Ora,female,a9839,,241.115,0,0,440.08,230.24,440.08,-,0
2,,,MA,Gre.Whi,female,a9809,,1840.99,119.36,54.4,266.32,1.44,440.08,104.72,14
3,,,MA,_.Bla,male,a9800,,441.771,0,0,440.08,158.16,440.08,-,0
4,,,MA,Red.Pur,female,a9762,,1383.77,0,0,440.08,0.96,440.08,-,0
5,,,MA,Blu.Yel,female,a9845,,9.02942,0,0,440.08,440,440.08,-,0
6,,,MA,Red._,female,a9848,,945.819,23.52,49.76,366.8,26.8,440.08,320.4,3
1,,,MA,Bro.Pin,male,a9793,,13.8289,0,0,440.08,435.68,440.08,-,0
2,,,MA,_.Gre,male,a9803,,1901.75,37.68,116.72,285.68,16.88,440.08,242,13
3,,,MA,Pin.Ora,male,a9858,,687.686,0,0,440.08,111.04,440.08,-,0
4,,,MA,Yel._,male,a9763,,27.2418,0,0,440.08,414.64,440.08,-,0
1,,,WTB,Gre.Pur,male,a10043,,1871.71,83.6,79.84,276.64,0.4,440.08,121.2,9
2,,,WTB,Ora.Ora,female,a10060,,2731.25,198.16,108.08,133.84,0.08,440.08,0,40
3,,,WTB,_.Blu,female,a10040,,1832.56,40.16,129.76,270.16,0.08,440.08,169.2,8
4,,,WTB,Whi.Bro,female,a10159,,2094.86,167.52,48.72,223.84,0.72,440.08,12.72,15
5,,,WTB,Yel.Yel,female,a10097,Jumped,2102.91,127.12,66.88,246.08,0.4,440.08,114.24,15
6,,,WTB,Pin.Bro,male,a10088,,1920.22,88.56,99.44,252.08,2.32,440.08,64.08,18
1,,,WTB,Whi.Bla,male,a10152,,1347.47,0,0,440.08,0.88,440.08,-,0
2,,,WTB,Pur.Pur,female,a10081,,1905.09,57.76,77.68,304.64,0.32,440.08,73.52,10
3,,,WTB,Whi.Pin,female,a10154,,1611.77,69.68,105.36,265.04,0.72,440.08,235.04,9
4,,,WTB,Ora.Pin,female,a10063,,1524.63,305.92,55.2,78.96,0.24,440.08,0,4
5,,,WTB,Pin.Red,male,a10089,,1668.31,50.16,77.36,312.56,1.44,440.08,103.84,12
